date,title,link,content
Mon Apr 12,"Exam Registration - Notification - B.Tech S1,S2 (S,FE) Exam May 2021 (2015 Scheme)","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=%2BL7xKBzIYKkrPM1rC5AeDnsoKJ1Ckccr%2F1T5zhkCHqY%3D&announcementId=tEFCrl1GswomK2%2FT0iDAhTqFxK9Yn34q%2FWkhsdhLu7c%3D&fileName=Notif-B.TechS1,S2S,FEMay212015Sch.pdf&downloadType=hHk7BSqHT3cxiikEzf4C0B2q6AYhJgHR75NhxIxVGic%3D', 'text': 'Notification'}]"," It is hereby informed that students having course repeat in B.Tech S1 (2015 scheme) can docourse registration in portal from 11.04.2021, Sunday to 13.04.2021, Tuesday. Registrationcan be done in portal through College login only. Exam name: B.Tech S1,S2 (S,FE) Exam May2021 (2015 scheme). Students shall contact College office for registration."
Mon Apr 12,Circular - B.Tech S3 (2019 scheme) - Conduct of exam of Slot A courses,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=BJMrTlafuD5ESOjBPBABB8tFtNxqz3a6cjFjrENQAjg%3D&announcementId=WLyjVhtAJHkjPr68mfGC8fByLqxwiPO62D3RPTQwuEY%3D&fileName=B.TechS3Circular.pdf&downloadType=zVr4sRDtNpKN1fZ%2FDwgPt9kGkHLQSI0Oz3cvaDTzT3E%3D', 'text': 'Circular'}]"," Please download the attached Circular for details regarding conduct of exam of Slot A courses in B.Tech S3 (R) Exam Dec 2020 (2019 scheme)"
Sat Apr 10,Fulfilling of eligibility criteria for admission of students to programmes/courses by the institutions affiliated to the University - Ensuring of -Reg,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=aOMqXbQ4O%2BKZa2BaAZ4WQ0gdyvi0w7KUoB4T2Vcv3jw%3D&announcementId=0QM%2B96h7Dydv44i%2B5nwVt%2BlHBmkZy7kAGGrJFW6a480%3D&fileName=KTU-AC1-217-2021(1)(1).pdf&downloadType=3one0F8x6JYT9MsmtsRcOt9NmPZ4DkuScLFbML3V5KM%3D', 'text': 'Circular'}]","                        				                        				                        				                            				"
Thu Apr 08,Result published - B.Tech S2 (PT) Exam Sept 2020,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=UVs75zPhvlR0NaB%2Fkz79aO%2FYidUvcyxMKd8cYUFbto0%3D&announcementId=hVdh8PzNJbwI3HMQBgRUNBrQ4eQowfq3KxUmheOvpu0%3D&fileName=Resultnotif-B.TechS2(S)(PT)S20.pdf&downloadType=dQMiIZcXoZrTssTCRUI1FLqNeQpWFxNxWG%2Fu58jiai4%3D', 'text': 'Notification'}]"," It is hereby notified that the result of B.Tech S2 (S) (PT) Exam Sept 2020 is published. The detailed results are available under 'Results' tab of the University website and in Student and College login."
Thu Apr 08,Detailed Time Table of B.Tech S7 (Honours) December 2020 examination - Notification - reg:,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=GCInFQ%2FjDAAIIPkgGpoRvR6rg2oJqAutw%2BaRxELi34Y%3D&announcementId=5RFJ3lTabG1%2BIWWkQv1j1xuCaQh0OfHNvKogBGR9lh8%3D&fileName=DetailedTimeTableofB.TechS7(Honours)December2020examination.pdf&downloadType=00TRAf%2B8HIdqYEQI%2FuyW8FjMBoMLZE46ERrWHTD%2BI2o%3D', 'text': 'Notification'}]"," The detailed Time Table of B.Tech S7 (Honours) December 2020 examination, scheduledon 27th April 2021, Tuesday, (9.30am - 12.30pm) is published herewith."
Wed Apr 07,Academic - MOOC courses - Revised guidelines for approval process - Approved - Orders issued - Reg,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=mNh8cC%2BGs8%2BSfTC4DpnMO4ZbSB9fqDHgk0ss53jFleI%3D&announcementId=CR0%2FHyKoDYv%2FDErGUdv3wxX61vv2IsfWF28e0jVdSp0%3D&fileName=602-2021-KTUMOOCcoursesrevisedguidelinesforapprovalprocess.pdf&downloadType=Rm7LtnNdWi%2FBU7qmsmuRc6XfmcpqVzhV3gGw0f5jsDE%3D', 'text': 'Circular'}]","                        				                        				                        				                            				"
Wed Apr 07,Examination centre change opened - B.Tech S1 Dec 2020 Exam (2019 scheme),"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=4iObjzWdo3tAvNr83Nf15rwOqatE1fbHsl6QLBFz%2FUU%3D&announcementId=UCLRuWlC8v99Zecb5qdX0NL9RDCV%2BjzUIjFcGiam%2Bmc%3D&fileName=CentreChange-B..TechS1Dec2020(2019scheme).pdf&downloadType=mfRdB0ljfba3RzQMejO9V9TCr1yd31If9Ro4WFCpfXQ%3D', 'text': 'Notification'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=azan3NOrGQRczlYW3VEljZS%2BhJxye3c215A7amEXnmc%3D&announcementId=d70%2BZMN%2BKhDOKtqsAVCkedRbVCIaqeKpTJtxtdnCDAM%3D&fileName=Guidelines-Examcentrechange(4)(3)(1)(3).pdf&downloadType=OE%2BmsyMMTmRTTwC9oEKTMfS3BM%2FcPnclQF3X14phhKA%3D', 'text': 'Guidelines - Centre change'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=OWatyBCiygCd0PkVPgxsCNH4zzv3%2FZQnmOdFA60SAC0%3D&announcementId=9MEayaZ%2FD7GkG8aQbWVLmPMpCuEp%2BQA8mEO485vdbVA%3D&fileName=KTU-CenterChangeStudentHelp(2)(1)(1)(3).pdf&downloadType=FsP4ZkaQhYEC0fbmqX5OZmv4nHobHy3LZSMh0jKnVSk%3D', 'text': 'Tutorial for students'}]"," It is hereby notified that students registered for B.Tech S1 (R,S) Dec 2020 (2019 scheme) exam can apply for change of exam centre through student login in KTU portal from 08.04.2021, Thursday to 11.04.2021, Sunday. Download the Notification for more details. Please see the Guidelines before applying through portal.
                            			 		                            		 		                            		 	                            		 		
                            		 		
                        				                        				                            				
                            			 		                            		 		                            		 	                            		 		
Guidelines - Centre change
                            		 		
                        				                        				                            				"
Mon Apr 05,The revised schedule of even semester classes for Academic Year 2020-21 is published herewith.,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=8qhW8XZB135pNsSVHZz7xtLUSrO40SXCkNqFBWZ2fYA%3D&announcementId=cp47%2Bkp3KJEIhUfg1%2Bipti9%2FCoWdL7Tfm2xLe7LCNT0%3D&fileName=KTU-DIRECTOR(ACADEMIC)-1063-2019.pdf&downloadType=MSUmdgca9yMtLroYqST3BNYNbMpVHbteZV46qGebxMU%3D', 'text': 'Circular'}]","                        				                        				                        				                            				"
Mon Apr 05,Exam centre change opened - MCA Integrated and MCA (2 Year) S1 Dec 2020 exam,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=AcMsT3FQkpm97RZd6QNRekqk%2FjcYZAtVuoNMcC6jNVQ%3D&announcementId=rJdc%2FO77jAcGSA236M5w%2Bj8ju1JxNCzBraN9JAlvX2M%3D&fileName=Guidelines-Examcentrechange(4)(3)(1)(1).pdf&downloadType=a6oURxkJrAt7%2BASb6YesZQhSWROCgSUUYhcYaOPc%2FJw%3D', 'text': 'Guidelines - Centre change'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=jBGs4%2BiTeAKcXD6yNlw0f2YFeDGA%2FH7I7QStsmukY0c%3D&announcementId=1c3IRZxWB9nja%2FpgORwGORF3N28TCMi%2B1SZMd%2BfRHuY%3D&fileName=KTU-CenterChangeStudentHelp(2)(1)(1).pdf&downloadType=WyLQF340azIG%2FUDQbIKndWRAI2F0GlhTOTw1ufTwj7A%3D', 'text': 'Tutorial for students'}]"," It is hereby notified that students appearing for MCA Integrated S1 (R) Exam Dec 2020 (2020 Scheme) and MCA (2 Year) S1 (R) Exam Dec 2020 can apply for change of exam centre through student login in KTU portal up to 07.04.2021, Wednesday. Please see the Guidelines before applying through portal.
                            			 		                            		 		                            		 	                            		 		
Guidelines - Centre change
                            		 		
                        				                        				                            				"
Mon Apr 05,"Exam centre change opened - B.Arch, B.Des and BHMCT S1 Dec 2020 exams","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=GydvXa1%2BjlHqQ%2B6Yof78bDcYeAkUsZ024Ou%2FYHQ5DjE%3D&announcementId=UN3had5raBFRZzDEMNz4tSng%2Fhr74trJuId%2B%2FnF87OA%3D&fileName=Notif-Centrechange-B.Arch,BHMCT,B.DesS1D20.pdf&downloadType=TBv5ut%2BU1OSK7yTqMh5wf8E988mLxMivKNeDymGhxps%3D', 'text': 'Notification'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=7Y%2FVOse8A308Ug9AVbNO3zEpYXgPQsbMk59Sv1hKq7Y%3D&announcementId=tFV0EpbgH9ywZ7OjXrN%2BL29VjC7mIrI5ZiMs5Mv8u4s%3D&fileName=Guidelines-Examcentrechange(4)(3)(1).pdf&downloadType=FVApOvraLkGqpr4LtFCQ2n6sPGvr2T%2FqddZH5Qu48bI%3D', 'text': 'Guidelines - Centre change'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=PyEle0Cjo5K%2FoAxJYFgY%2Bz5qUNCrMQlXVb9FNkezZtY%3D&announcementId=vIyumv7RdP5B0OQ6gRmJQojpWmbd6anMrGqMC3O%2BnaY%3D&fileName=KTU-CenterChangeStudentHelp(2)(1)(1).pdf&downloadType=%2BwTflmMum5%2BIMivm3Ggne45PwcAgUhiMzhj5GVMKF44%3D', 'text': 'Tutorial for students'}]"," It is hereby notified that students appearing for B.Arch, B.Des and BHMCT S1 Dec 2020 exams can apply for change of exam centre through student login in KTU portal up to 07.04.2021, Wednesday. Download the Notification for more details. Please see the Guidelines before applying through portal.
                            			 		                            		 		                            		 	                            		 		
                            		 		
                        				                        				                            				
                            			 		                            		 		                            		 	                            		 		
Guidelines - Centre change
                            		 		
                        				                        				                            				"
Sun Apr 04,NO class works/assessments/examinations be conducted in affiliated colleges on 5th and 6th of April 2021,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=xFertxnjWqYYiPq8bsITJw7vcuBMYoKznQkdVsT1kBY%3D&announcementId=jJFO0YzQFKo%2Bu1UuAt%2FipAW5e1xMAR7FAUJuo6j2vD8%3D&fileName=KTU-AC1-217-2021(2).pdf&downloadType=axRf9PUwJ3iY4R8jVKnZYOEfg4nzg%2BfBKoe07N7zVYA%3D', 'text': 'Nofification'}]"," This is to inform all concerned that NO class works/assessments/examinations beconducted in affiliated colleges on 5th and 6th of April 2021. This is to facilitate all ourstudents to participate in the elections and cast their votes"
Sun Apr 04,"Detailed Time Table of MBA T5 (R,S) (including PT) and T8 (R) PT April 2021 Examinations & Detailed Time Table of MBA S1 Regular (2020 scheme) (including PT) March 2021 Examination - Notifications - reg","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=%2FL7FYoIICwvCJ4iFvwipWTI7mm5CNs8iz75%2FX%2Fm1jmI%3D&announcementId=MDwQG1de6CYsyhGu5%2Bu2URFRsOlkZiwRUNvNo5iCVdQ%3D&fileName=MBAT5TIMETABLE.pdf&downloadType=QUdA2eHOLpq7YuybdvkjscH0OTsCTGgQWIRfRiJIEM0%3D', 'text': 'MBA T5 TIME TABLE'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=UwoX%2BQ0uzdIhVNCIzD%2F8jwSctLWkIVcsiGh7NgA2DNo%3D&announcementId=7lkOdBq6oUCeaqVkAqb9EmA06mlrwIVON2%2F5SGVWxfE%3D&fileName=MBAS1TIMETABLE.pdf&downloadType=pmChtjbzQa99J%2BLWB0HdpzOZrzs0ct3uh09A%2F96hvyA%3D', 'text': 'MBA S1 TIME TABLE'}]","                        				                        				                        				                            				
                            			 		                            		 		                            		 	                            		 		
                            		 		
                        				                        				                            				"
Fri Apr 02,Revised slot-wise schedule of first semester B.Arch/BHMCT/B.Des/M.Tech/M.Arch/M.Plan/MCA (Regular / Integrated) December 2020 and B.Tech S1 and S3 (2019 scheme) Examinations,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=XQwNnFG2ElxI1OKvXHqI9%2Bdob4wZlKY7RnDAaQrEj3Y%3D&announcementId=kVhNle%2FbTHzu%2BzWFlqiivPSqd0IStHI6JQYlRz75q1o%3D&fileName=REVISEDSLOT-WISETTDEC2020.pdf&downloadType=InlPe5wg%2B%2Fu4xe8ohpITvo%2BObBWb15tM4xkcRczc%2BmA%3D', 'text': 'Revised Time Table'}]","                        				                        				                        				                            				"
Thu Apr 01,No change in lower semester B.Tech examinations commencing from 15th April,[]," It is to inform all concerned that, there will not be any change in the lower semester Regular B.Tech Examinations commencing from 15th of April 2021
                        				                        				                        			
"
Wed Mar 31,Result published - B.Arch S8 May 2020 Exam,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=CpzPjVA8dmuH3jJ9k4JJuFLzkf5r8W%2F7qJMrmzD6z0A%3D&announcementId=qwECbfYa5hmbyj3CHfT9gBFUsC9A%2FXtaId2yvioRHsE%3D&fileName=Resultnotif-May2020Exam-B.ArchS8.pdf&downloadType=sCiJ0lV%2BCI3GFs6LNLiVXGkkOp8x%2Btv2DhQBwWzVHIk%3D', 'text': 'Notification'}]"," It is hereby notified that the result of B.Arch S8 Exam May 2020 is published. The detailed results are available under 'Results' tab of the University website and College login."
Wed Mar 31,Postponement of Slot E of B.Tech S3 Regular (2019 scheme) December 2020 examination (including Part- Time)- Reg:,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=Reen0VwVxkGADdY%2Fxe3%2FV8WJMvniC3adGIN%2FGmBdrho%3D&announcementId=8%2FMoGZTKFDPsQHidmj4hkKWviIOI%2Bcl2LdD%2B7wMtuZY%3D&fileName=PostponementofSlotEofB.TechS3Regular(2019scheme)December2020examination(includingPartTime)-Reg.pdf&downloadType=w9PyeUzy4r84XAeQBAIz0RDVFuO9TDwe45ZqrbNAnv0%3D', 'text': 'Notification'}]"," I t is hereby notified to the attention of all concerned that t h e Slot E of B.Tech S3 Regular (2019scheme) December 2020 (including Part-Time) examinations scheduled on 28.04.2021, Wednesday stands postponed to29.04.2021, Thursday. The details are as shown below."
Tue Mar 30,Result published - MBA T6 (R) Exam May 2020 PT,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=Asd7P%2BS2N25YK%2FTGQvK5wNz5yiNxj4GYkLxWfM7kQMc%3D&announcementId=rlWsjG6jNv3QLk5EraHfLiUZYkhrM8UA6Tz%2FjudtAQY%3D&fileName=KTU-EX-V3-5385-2018.pdf&downloadType=Wkp4oZFbNaUJ6H%2BaEGmOnKtBdG%2FJ2rX3yA%2FLJV4uJio%3D', 'text': 'Notification'}]"," The result of MBA T6 (R) Exam May 2020 PT is published herewith. Thedetailed result is available in student and college login."
Tue Mar 30,Result published - MCA (INT) S4 (S) Exam Sept 2020,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=cJLysFmclwdj6L%2FhI7IDDW%2BbYebcs8gyStsU4%2F1JArY%3D&announcementId=br7thYxQXoKjiA1LAQDl8XaIggx9f3Jn%2BA%2F4N6vKFwA%3D&fileName=KTU-EX-V--3-2712-2019.pdf&downloadType=GMm4lnrZ3b%2BaFy%2FDEBv6WE6mhAMt8hEgrNYCTJvAAFo%3D', 'text': 'Notification'}]"," The result of MCA (INT) S4 (S) Exam Sept 2020 is published herewith. Thedetailed result is available in student and college login."
