date,title,link,content
Thu Apr 22,Commencement of lower semester UG and PG classes different programmes: rescheduling of academic activities due to the postponement of examinations-order- regarding.,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=e9PNwQ4cMq%2But%2BbQK%2Fl4%2FI%2FGUwq6q4Fwy6SerDfBvyg%3D&announcementId=RlG5FVuiaZJQE435SZG%2FwN5evI%2FKp9aDPlezRpf%2FHQU%3D&fileName=671-2021-KTU.pdf&downloadType=qJAsbHiVQpiM9kIniNIRZ0saq8rVvAS5gsyh1bZ%2B%2ByA%3D', 'text': 'Order'}]",""
Thu Apr 22,Extension of Last Date for submission of EoI for KSITM project being facilitated by KTU,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=woeb6o3OGWjsWkAgFO67S4v0uuLD0GkGsAuzici%2FNUg%3D&announcementId=98JF3LXHr1SjVSNrmtEJBPqKlsKQ%2Bjs9i92NaG014cc%3D&fileName=ExtensionofLastDateforsubmissionofEoIforKSITMMapathonproject.docx&downloadType=r15tDbynoc96PE21jSgDRaD8jwCiMpC6j3iA1%2FI3z1Y%3D', 'text': 'Details'}]"," Please be informed that the last date/ time for submission of EoI from interested colleges for KSITM Mapathon project, being facilitated by KTU has been extended to Monday, April 26th by 3 pm. "
Wed Apr 21,Call for EoI -KTU Facilitated project of KIIDC,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=%2FzVSESmQEgWW%2FQpd3ZU%2FmNjelUKBwfqEoBjRyLXCMh0%3D&announcementId=Eq4eV7RbEjqMzeSaneQMhim0T4rzUQP%2F2FJKc3oo37E%3D&fileName=EoI_KIIDCproject_KTUcolleges.pdf&downloadType=d5LyQer8RCOTgH9q5YhAcGJkBPzVcZhcO99Agu19s2g%3D', 'text': 'Details'}]",""
Wed Apr 21,"Session on ""Importance of making industries and institutions Carbon Neutral""","[{'url': ' https://tinyurl.com/ktucarbon-neutral', 'text': 'Registration Link'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=h96DXDDJPgodPf4Sdo92N%2FUhgeFShWKIdFWayD4nPrA%3D&announcementId=OBX4IcVCgNnopbaZ0HGmCMEt2ZGVn4clFusguQx9Uwk%3D&fileName=MakingIndustriesInstitutionsCarbonNeutral_APJAKTU.pdf&downloadType=GVj%2BR9%2BL7NcX1DyQBGEatruQ7YBBSwDoNXargMV99g4%3D', 'text': 'Details'}]","Prof. Sukesh A,Assistant Professor Electrical & Electronics Engg. &Coordinator, CESEE,Govt College of Engineering Kannur.
Dr. Rajasree M.S,Honorable Vice Chancellor,APJ Abdul Kalam Technological University
Mr. Kumaraswamy Chandrashekara,Head - Sustainability, BSI India."
Wed Apr 21,Valuation Status - B.Tech Examinations,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=cEEUfh8xj73LFAHsR3pz%2BxEfW5hwQG8L0Z8YYMCMy9U%3D&announcementId=orW%2BTsfQyVh1hQkZexf9OWuukydP6opWqFoLNBrQOl8%3D&fileName=Valuationstatus-B.Tech20.04(2).pdf&downloadType=M9FtyYMcRy%2F%2FUaY6a%2BzJsUmPj5mufa6GYtWhC3xe2lI%3D', 'text': 'Valuation status'}]"," Valuation status and tentative date of result publishing of B.Tech Examinations held during February to April 2021 is published herewith for the information of all concerned."
Tue Apr 20,Mentoring Program for Fulbright applicants 2022-2023,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=YCShrlBPB7XWpn9MTd97lvn5GKjaN4O%2BZjkJNhZ0nAI%3D&announcementId=r9Auxt%2BwjWoG5b%2BSbHEhFmd%2Bku2OGEBsC%2F02qSfe2ao%3D&fileName=Informationsessions.pdf&downloadType=uBWSBqc2Tyw0QS6rRbWd6Fs7rsg6ozzMQpIz6x0eiAw%3D', 'text': 'Details'}]",""
Mon Apr 19,Result published -MCA Integrated S1 (S) Exam Dec 2020,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=6CEnl22cB7HoGy1HTzk1XKni%2BJAFNVSOpVNgd8tyGfU%3D&announcementId=ROvOcU7iyAD4wbzb4BOEATIerK55UaegrbUdkEG4pew%3D&fileName=KTU-EX-V--3-2712-2019.pdf&downloadType=Y1o9huiwooa%2BzhkJEFUvt3jPi4FwrRrjFAH8dMEu4zg%3D', 'text': 'Notification'}]"," The result of MCA Integrated S1 (S) Exam Dec 2020 is published herewith. The detailed result is available in student and college login."
Mon Apr 19,Call for EoI from affiliated colleges - KSITM project being facilitated by KTU,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=AxW6S2KwP7jfOF%2F83ytRSLpHuFzy5ic7M%2BO1m6vDzho%3D&announcementId=TR3a%2BE2Za5qeIoGgjGQETQkDa63tS4whNTuHwFujNBM%3D&fileName=IAC.docx&downloadType=bgfOu6l2DQ%2FC%2FB1JyRm9vkL408EfiTUnRC46phjPdwQ%3D', 'text': 'KSITM Project Opportunity '}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=BNQxkNQrrzLBZgvnaR27aOSjs4oBymFgodnkNv9E9Nw%3D&announcementId=d8dRtUJwCpq3mGQS70062OzGKp1M%2FvZfSCuX4Cka6Gs%3D&fileName=LettertoIndustryCellKTU.pdf&downloadType=%2FGXuCWU3whw9i2lKltOQ%2Fsz8ntENlBFtcl2QKri3n6w%3D', 'text': 'Project Details'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=DDsbPmjzODRzdoFX7%2FW7yxEKByxTrVBwec4EEbFFw2M%3D&announcementId=f3kJm6i%2BkRuwNl%2BDuRYZ72fKkkNR5pvkkVzvXl%2FXrbU%3D&fileName=OSMEntities.docx&downloadType=QG19LunWDiEHbQltXYyuSX7p6wBPPbkwSnoxt80GFmk%3D', 'text': 'OSM Entitie'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=vyDAJ6iWu1piHCHhjevV4ELfn6wzm2el9IcAdGT0QW0%3D&announcementId=4wWfmqJkIyNesJVrbJZ2%2FwdGRfpP6rtuPpRSV2L7040%3D&fileName=KSITMProject_Queries_April13.xlsx&downloadType=5fTkQ0hrpp2yf8vSJezJwyF8283UwmZ6%2BBW%2FTjdtlPY%3D', 'text': 'KSITM Project  _ Queries'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=JuFE4cTa7DfSEXUmx3OGCnxTjQHlClk%2FDy5ZUCBlN20%3D&announcementId=X1dMcg85pLakjaO5qbgPs25Vb38%2FRPDqBktwy2GNGYQ%3D&fileName=EoITemplate_mapathonproject.docx&downloadType=LB66WXEoff9kS7pjLjAY85NCMcROfRxQFgNsOb3HpVo%3D', 'text': 'Expression of Interest (EoI) Template'}]","                        				                        				                        				                            				
                            			 		                            		 		                            		 	                            		 		
KSITM Project Opportunity 
                            		 		
                        				                        				                            				
                            			 		                            		 		                            		 	                            		 		
                            		 		
                        				                        				                            				
                            			 		                            		 		                            		 	                            		 		
                            		 		
                        				                        				                            				
                            			 		                            		 		                            		 	                            		 		
                            		 		
                        				                        				                            				
                            			 		                            		 		                            		 	                            		 		
Expression of Interest (EoI) Template
                            		 		
                        				                        			
"
Sun Apr 18,Examinations postponed - Notification,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=5MGMg5niTmHjcicYd1PevTH4d2XqcrCEUWg4CZCsHU8%3D&announcementId=DXH4JW4y%2Bq140WFPsPclOGi2BUX8Y2071OoLcT31Pc0%3D&fileName=Notificaiton-exampostponed.pdf&downloadType=tpvUqOlisYWFe%2FDGamlgG4dCt9ZVcWCS1LXPmsfvRcM%3D', 'text': 'Notification'}]"," In view of the directions from the Hon'ble Chancellor and considering the representations from student organisations, Hon'ble Vice Chancellor has directed to postpone all scheduled examinations of APJ Abdul Kalam Technological University."
Sun Apr 18,Circular - Conduct of Exams - Guidelines to be followed,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=9cpDQBprNdf0%2FEdn1qxjBhdM%2BF1xDnaOVDUEOR17iU8%3D&announcementId=h7x7jR%2BORaKA8E76%2FydgLTe2Lv8XswNvxMxo9CyG9t8%3D&fileName=Circualr-conductofexam-covidsitn..pdf&downloadType=6Dc8KKYiVQTBuwiYtyYKf0CBeFUB1XJ9fjN02rINi2k%3D', 'text': 'Circular'}]"," Please download attached Circular regarding conduct of Exams and Guidelines to be followed"
